State,Cycle,District,StateDistrict,FEC_ID,Cand_Name,Gen_Votes,Gen_Vote_Pct,Winner,PartyName,Party,Incumbent,PresYear,PartyInPres,TotDistVotes,TotDistDisb,TotDisb,CandinDist
ME,2004,1,ME-1,H6ME01157,"Allen, Thomas H.",219077,0.5974,1,Democrat,0,1,1,0,366740,1233478.90,727777.75,2
MI,2010,3,MI-3,H0MI03126,"Amash, Justin",133714,0.5968,1,Republican,1,0,0,0,224063,2091959.89,1093007.40,4
LA,2016,3,LA-3,H6LA03130,"Angelle, Scott A.",91532,0.2856,0,Republican,1,0,1,0,320454,4005764.48,2005704.24,7
AL,2016,2,AL-2,H0AL02087,"Roby, Martha",134886,0.4877,1,Republican,1,1,1,0,276584,1887379.64,1850535.64,2
AL,2010,2,AL-2,H0AL02087,"Roby, Martha",111645,0.5097,1,Republican,1,0,0,0,219028,2675902.08,1240275.64,2
AL,2012,2,AL-2,H0AL02087,"Roby, Martha",180591,0.6360,1,Republican,1,1,1,0,283953,862502.48,862502.48,1
AL,2014,2,AL-2,H0AL02087,"Roby, Martha",113103,0.6734,1,Republican,1,1,0,0,167952,804038.21,793565.21,2
NY,2012,8,NY-8,H2NY10092,"Jeffries, Hakeem S.",178688,0.8750,1,Democrat,0,0,1,1,204207,2729509.34,1361036.78,2
AL,2006,5,AL-5,H0AL05049,"Cramer, Bud",143015,0.9825,1,Democrat,0,1,0,0,145555,589474.44,589474.44,1
AL,2004,5,AL-5,H0AL05049,"Cramer, Bud",200999,0.7297,1,Democrat,0,1,1,0,275459,601453.11,588843.11,2
IA,2014,3,IA-3,H4IA03065,"Appel, Staci",119109,0.4223,0,Democrat,0,0,0,1,282066,4193627.34,2162366.16,3
AL,2012,5,AL-5,H0AL05163,"Brooks, Mo",189185,0.6495,1,Republican,1,1,1,0,291293,511638.62,455514.82,2
AL,2014,5,AL-5,H0AL05163,"Brooks, Mo",115338,0.7442,1,Republican,1,1,0,0,154974,326275.12,299837.50,2
AL,2016,5,AL-5,H0AL05163,"Brooks, Mo",205647,0.6670,1,Republican,1,1,1,0,308326,180974.87,119723.76,2
OH,2008,7,OH-7,H8OH07065,"Austria, Steve",174915,0.5822,1,Republican,1,0,1,0,300462,2051525.59,1196193.41,2
AL,2004,7,AL-7,H0AL07060,"Davis, Artur",183408,0.7497,1,Democrat,0,1,1,0,244638,1068611.34,1068611.34,1
AL,2008,7,AL-7,H0AL07060,"Davis, Artur",228518,0.9863,1,Democrat,0,1,1,1,231701,820472.53,820472.53,1
AL,2006,7,AL-7,H0AL07060,"Davis, Artur",133870,0.9904,1,Democrat,0,1,0,0,135164,579167.22,579167.22,1
AL,2010,7,AL-7,H0AL07086,"Sewell, Terri A.",136696,0.7243,1,Democrat,0,0,0,1,188724,1809349.30,1766658.30,2
AL,2014,7,AL-7,H0AL07086,"Sewell, Terri A.",133687,0.9837,1,Democrat,0,1,0,1,135899,1468012.70,1468012.70,1
AL,2016,7,AL-7,H0AL07086,"Sewell, Terri A.",229330,0.9841,1,Democrat,0,1,1,1,233028,1087017.93,1087017.93,1
AL,2012,7,AL-7,H0AL07086,"Sewell, Terri A.",232520,0.7585,1,Democrat,0,1,1,1,306558,886067.30,863803.98,2
NY,2012,12,NY-12,H2NY14037,"Maloney, Carolyn B.",185757,0.7694,1,Democrat,0,1,1,1,241426,4060812.36,1862564.55,2
MN,2008,6,MN-6,H6MN06074,"Bachmann, Michele",187817,0.4641,1,Republican,1,1,1,0,404725,6084606.94,3566123.21,3
AR,2010,1,AR-1,H0AR01083,"Crawford, Rick",93224,0.5179,1,Republican,1,0,0,0,180016,2863829.63,1249966.21,2
AR,2012,1,AR-1,H0AR01083,"Crawford, Rick ",138800,0.5623,1,Republican,1,1,1,0,246843,1645312.63,1274636.11,2
AR,2016,1,AR-1,H0AR01083,"Crawford, Rick ",183866,0.7628,1,Republican,1,1,1,0,241047,808955.49,808955.49,1
AR,2014,1,AR-1,H0AR01083,"Crawford, Rick ",124139,0.6325,1,Republican,1,1,0,0,196256,944855.59,665075.08,2
NY,2012,16,NY-16,H8NY19058,"Engel, Eliot L.",173886,0.7351,1,Democrat,0,1,1,1,236553,2366862.58,1182936.79,2
AR,2010,2,AR-2,H0AR02107,"Griffin, Tim",122091,0.5790,1,Republican,1,0,0,0,210852,2793529.27,1774143.00,2
AR,2012,2,AR-2,H0AR02107,"Griffin, Tim ",158175,0.5519,1,Republican,1,1,1,0,286598,1897994.60,1659463.02,2
NY,2012,26,NY-26,H4NY27076,"Higgins, Brian",195234,0.6868,1,Democrat,0,1,1,1,284271,2259927.14,1031409.79,2
NY,2012,6,NY-6,H2NY06116,"Meng, Grace",107507,0.6540,1,Democrat,0,0,1,1,164374,3937319.64,1788012.14,3
AR,2010,3,AR-3,H0AR03055,"Womack, Steve",148581,0.7244,1,Republican,1,0,0,0,205123,718381.27,641115.26,2
AR,2012,3,AR-3,H0AR03055,"Womack, Steve",186467,0.7590,1,Republican,1,1,1,0,245660,602443.00,602443.00,1
AR,2014,3,AR-3,H0AR03055,"Womack, Steve",151630,0.7941,1,Republican,1,1,0,0,190935,574943.70,574943.70,1
AR,2016,3,AR-3,H0AR03055,"Womack, Steve",217192,0.7732,1,Republican,1,1,1,0,280907,568200.63,568200.63,1
AR,2010,4,AR-4,H0AR04038,"Ross, Mike",102479,0.5753,1,Democrat,0,1,0,1,178134,3608581.88,3012726.94,2
AR,2008,4,AR-4,H0AR04038,"Ross, Mike",203178,0.8617,1,Democrat,0,1,1,1,235781,1722156.02,1722156.02,1
AR,2006,4,AR-4,H0AR04038,"Ross, Mike",128236,0.7473,1,Democrat,0,1,0,0,171596,1254483.30,1254483.30,1
NY,2012,20,NY-20,H8NY21203,"Tonko, Paul D.",181093,0.6091,1,Democrat,0,1,1,1,297314,2957713.46,820271.02,2
AZ,2008,6,AZ-6,H0AZ01184,"Flake, Jeff",208582,0.6242,1,Republican,1,1,1,0,334176,849491.05,845011.38,2
AZ,2010,6,AZ-6,H0AZ01184,"Flake, Jeff",165649,0.6642,1,Republican,1,1,0,0,249383,774230.95,774230.95,1
AZ,2004,6,AZ-6,H0AZ01184,"Flake, Jeff",202882,0.7938,1,Republican,1,1,1,1,255577,675061.38,675061.38,1
AZ,2006,6,AZ-6,H0AZ01184,"Flake, Jeff",152201,0.7480,1,Republican,1,1,0,1,203486,272424.81,272424.81,1
AZ,2010,1,AZ-1,H0AZ01259,"Gosar, Paul",112816,0.4972,1,Republican,1,0,0,0,226918,3171088.77,1172286.68,2
AZ,2012,4,AZ-4,H0AZ01259,"Gosar, Raul",162907,0.6683,1,Republican,1,1,1,0,243760,1126649.26,1126649.26,1
AZ,2016,4,AZ-4,H0AZ01259,"Gosar, Paul",203487,0.7145,1,Republican,1,1,1,0,284783,748131.42,712872.46,2
AZ,2014,4,AZ-4,H0AZ01259,"Gosar, Paul",122560,0.6996,1,Republican,1,1,0,0,175179,439868.56,401796.79,2
NY,2012,17,NY-17,H8NY20056,"Lowey, Nita M.",161624,0.6071,1,Democrat,0,1,1,1,266205,6272000.61,2491789.21,2
NY,2012,4,NY-4,H6NY04112,"McCarthy, Carolyn",152590,0.5752,1,Democrat,0,1,1,1,265300,6062696.98,1860330.67,3
NY,2012,22,NY-22,H8NY24066,"Hanna, Richard L.",145042,0.5560,1,Republican,1,1,1,0,260863,2511719.25,1089031.50,2
NY,2012,25,NY-25,H6NY03031,"Slaughter, Louise M.",168761,0.5384,1,Democrat,0,1,1,1,313452,9282105.01,2469256.67,2
AZ,2010,3,AZ-3,H0AZ03362,"Quayle, Ben",108689,0.5224,1,Republican,1,0,0,0,208071,4292953.11,2645463.16,2
NY,2012,3,NY-3,H0NY02085,"Israel, Steve J.",146271,0.5355,1,Democrat,0,1,1,1,273171,10107844.27,3173748.67,2
HI,2014,1,HI-1,H4HI01134,"Takai, Mark",93390,0.5193,1,Democrat,0,0,0,1,179844,2844926.16,1826464.36,2
CA,2014,7,CA-7,H0CA03078,"Bera, Ami",92521,0.5040,1,Democrat,0,1,0,1,183587,12911109.14,4355563.28,2
CA,2016,7,CA-7,H0CA03078,"Bera, Ami",152133,0.5117,1,Democrat,0,1,1,1,297301,5547871.35,4192531.21,2
VA,2010,1,VA-1,H0VA01151,"Ball, Krystal M.",73824,0.3478,0,Democrat,0,0,0,1,212236,2058320.88,1086494.07,2
IA,2012,1,IA-1,H0IA01117,"Lange, Ben",162465,0.4157,0,Republican,1,0,1,0,390849,1088368.78,1079784.40,2
NC,2006,4,NC-4,H6NC04037,"Acuff, Steve ",68599,0.3501,0,Republican,1,0,0,1,195939,854002.54,800302.87,2
